Group,Genus species,brain mass,Ref. brain mass,body mass,Ref. body mass,hibernation,Ref. hibernation,diurnality,Ref. diurnality,substrate use,Ref. substrate use,diet,Ref. diet,mid-latitude of geographical distribution ,Ref. mid-latitude of geographical distribution
Primates,Ateles hybridus,102.59,van Woerden 2010,7560.00,van Woerden 2010,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,8.80,Jones et al 2009
Primates,Ateles paniscus,101.20,Isler and van Schaik 2012,8070.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,2.06,Jones et al 2009
Primates,Avahi laniger,9.90,Isler and van Schaik 2012,1106.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-19.63,Jones et al 2009
Primates,Brachyteles arachnoides,104.38,van Woerden et al 2014,8177.00,van Woerden et al 2014,0,Botero et al 2013,1,Animal Diversity Web,4,Animal Diversity Web,2,Animal Diversity Web,-22.66,Jones et al 2009
Primates,Bunopithecus hoolock,106.60,van Woerden et al 2012,6350.00,van Woerden et al 2012,0,van Woerden et al 2010,1,Animal Diversity Web,4,Animal Diversity Web,2,Animal Diversity Web,23.44,Jones et al 2009
Primates,Cacajao calvus,74.30,Isler and van Schaik 2012,2880.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-5.73,Jones et al 2009
Primates,Cacajao melanocephalus,64.90,Isler and van Schaik 2012,2710.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,0.53,Jones et al 2009
Primates,Callicebus caligatus,17.44,van Woerden 2010,880.00,Isler et al 2008,0,Botero et al 2013,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,-1.10,IUCN 2017
Primates,Callicebus cupreus,17.10,Isler and van Schaik 2012,815.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-6.58,Jones et al 2009
Primates,Callicebus lugens,19.13,van Woerden 2010,1090.00,van Woerden 2010,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,2.30,IUCN 2017
Primates,Callicebus medemi,19.72,van Woerden 2010,1197.29,van Woerden 2010,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,-0.35,Jones et al 2009
Primates,Callicebus torquatus,19.10,Isler and van Schaik 2012,980.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-2.00,IUCN 2017
Primates,Callimico goeldii,11.40,Isler and van Schaik 2012,484.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-5.33,Jones et al 2009
Primates,Callithrix argentata,8.00,Isler and van Schaik 2012,345.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-3.09,Jones et al 2009
Primates,Callithrix humeralifera,8.38,van Woerden 2010,370.00,Isler et al 2008,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,-5.36,Jones et al 2009
Primates,Callithrix jacchus,7.20,Isler and van Schaik 2012,320.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-6.58,Jones et al 2009
Primates,Callithrix kuhlii,7.97,van Woerden 2010,373.33,van Woerden 2010,0,Botero et al 2013,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,-15.62,Jones et al 2009
Primates,Callithrix penicillata,7.30,Isler and van Schaik 2012,328.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-12.68,Jones et al 2009
Primates,Callithrix pygmaea,4.00,Isler and van Schaik 2012,110.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-5.96,Jones et al 2009
Primates,Cebus albifrons,66.00,van Woerden 2010,2013.25,van Woerden 2010,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,Animal Diversity Web,-0.82,Jones et al 2009
Primates,Cebus apella,64.30,Isler and van Schaik 2012,2489.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-10.77,Jones et al 2009
Primates,Cebus capucinus,72.10,Isler and van Schaik 2012,2436.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,8.74,Jones et al 2009
Primates,Cebus libidinosus,63.65,van Woerden 2010,2116.94,van Woerden 2010,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,-18.08,Jones et al 2009
Primates,Cebus nigritus,64.10,van Woerden et al 2014,2215.00,van Woerden et al 2014,0,Botero et al 2013,1,All the World's Primates,4,All the World's Primates,3,Animal Diversity Web,-23.10,Jones et al 2009
Primates,Cebus olivaceus,68.40,Isler and van Schaik 2012,2633.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4.78,Jones et al 2009
Primates,Cebus xanthosternos,64.00,Isler et al 2008,2166.67,Isler et al 2008,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,-14.09,Jones et al 2009
Primates,Cercocebus atys,86.80,Isler and van Schaik 2012,6200.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,7.92,Jones et al 2009
Primates,Cercocebus torquatus,93.48,van Woerden 2010,5500.00,Isler et al 2008,0,van Woerden et al 2010,1,All the World's Primates,3,Animal Diversity Web,3,Animal Diversity Web,3.60,IUCN 2017
Primates,Cercopithecus albogularis,66.20,van Woerden et al 2012,4261.94,van Woerden et al 2012,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,Animal Diversity Web,-12.60,Jones et al 2009
Primates,Cercopithecus ascanius,54.90,Isler and van Schaik 2012,2901.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-2.71,Jones et al 2009
Primates,Cercopithecus campbelli,54.40,Isler and van Schaik 2012,2700.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,8.53,Jones et al 2009
Primates,Cercopithecus cephus,60.70,van Woerden et al 2012,2880.00,van Woerden et al 2012,0,Botero et al 2013,1,All the World's Primates,4,Animal Diversity Web,3,Animal Diversity Web,-0.42,Jones et al 2009
Primates,Cercopithecus diana,55.20,Isler and van Schaik 2012,3900.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,6.65,Jones et al 2009
Primates,Cercopithecus erythrotis,57.75,van Woerden et al 2010,2900.00,Smith and Jungers 1997,0,Botero et al 2013,1,Jones et al 2009,4,All the World's Primates,3,All the World's Primates,4.97,Jones et al 2009
Primates,Cercopithecus hamlyni,51.19,Heldstab et al 2016,2097.00,Isler et al 2008,0,van Woerden et al 2010,1,All the World's Primates,3,Heldstab et al 2016,1,Animal Diversity Web,-1.75,Jones et al 2009
Primates,Cercopithecus lhoesti,66.50,Heldstab et al 2016,3450.00,Isler et al 2008,0,Botero et al 2013,1,All the World's Primates,3,Heldstab et al 2016,3,Animal Diversity Web,-1.13,Jones et al 2009
Primates,Cercopithecus lowei,51.19,Isler and van Schaik 2012,2097.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,6.30,Jones et al 2009
Primates,Cercopithecus mitis,65.20,Isler and van Schaik 2012,4628.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-1.90,Jones et al 2009
Primates,Cercopithecus mona,55.90,van Woerden et al 2012,1920.00,van Woerden et al 2012,0,Botero et al 2013,1,Animal Diversity Web,4,Animal Diversity Web,3,Animal Diversity Web,6.83,Jones et al 2009
Primates,Cercopithecus neglectus,60.86,Isler and van Schaik 2012,4130.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-1.11,Jones et al 2009
Primates,Cercopithecus nictitans,66.80,van Woerden et al 2012,4260.00,van Woerden et al 2012,0,Botero et al 2013,1,All the World's Primates,4,Animal Diversity Web,2,Animal Diversity Web,1.69,Jones et al 2009
Primates,Cercopithecus petaurista,52.75,van Woerden et al 2012,2919.00,van Woerden et al 2012,0,Botero et al 2013,1,All the World's Primates,4,Animal Diversity Web,3,All the World's Primates,8.93,Jones et al 2009
Primates,Cercopithecus pogonias,56.50,van Woerden et al 2012,2900.00,van Woerden et al 2012,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,1.53,Jones et al 2009
Primates,Cercopithecus wolfi,58.30,van Woerden et al 2012,2870.00,van Woerden et al 2012,0,van Woerden et al 2010,1,All the World's Primates,4,Animal Diversity Web,2,Animal Diversity Web,-1.87,Jones et al 2009
Primates,Cheirogaleus major,5.51,van Woerden et al 2010,356.00,van Woerden et al 2010,1,Botero et al 2013,0,Animal Diversity Web,4,Animal Diversity Web,3,Animal Diversity Web,-18.76,Jones et al 2009
Primates,Cheirogaleus medius,2.60,Isler and van Schaik 2012,139.00,Isler and van Schaik 2012,1,Ruf and Geiser 2014,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-19.03,Jones et al 2009
Primates,Chiropotes albinasus,57.64,van Woerden et al 2010,2846.50,"Ayres 1981, 1989 ",0,Botero et al 2013,1,All the World's Primates,4,All the World's Primates,3,Animal Diversity Web,-8.41,Jones et al 2009
Primates,Chiropotes chiropotes,52.90,van Woerden et al 2014,2960.00,van Woerden et al 2014,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,3,All the World's Primates,2.50,IUCN 2017
Primates,Chiropotes satanas,49.41,van Woerden et al 2010,3030.00,Hershkovitz 1985,0,van Woerden et al 2010,1,Animal Diversity Web,4,Animal Diversity Web,3,All the World's Primates,-3.40,IUCN 2017
Primates,Chlorocebus aethiops,59.00,Isler and van Schaik 2012,3039.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,3,Isler and van Schaik 2012,12.60,Jones et al 2009
Primates,Chlorocebus pygerythrus,59.92,van Woerden et al 2012,3575.80,van Woerden et al 2012,0,van Woerden et al 2010,1,All the World's Primates,3,All the World's Primates,2,All the World's Primates,-13.19,Jones et al 2009
Primates,Chlorocebus sabaeus,59.39,Isler et al 2008,3700.00,Isler et al 2008,0,van Woerden et al 2010,1,All the World's Primates,3,All the World's Primates,4,All the World's Primates,11.44,Jones et al 2009
Primates,Colobus angolensis,65.80,van Woerden et al 2012,7849.00,van Woerden et al 2012,0,van Woerden et al 2010,1,All the World's Primates,4,All the World's Primates,1,All the World's Primates,-4.16,Jones et al 2009
Primates,Colobus guereza,70.20,Isler and van Schaik 2012,7506.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,1,Isler and van Schaik 2012,5.15,Jones et al 2009
Primates,Colobus polykomos,83.80,Isler and van Schaik 2012,8300.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,1,Isler and van Schaik 2012,9.06,Jones et al 2009
Primates,Colobus vellerosus,70.61,van Woerden 2010,7220.00,van Woerden 2010,0,Botero et al 2013,1,All the World's Primates,4,All the World's Primates,1,All the World's Primates,7.44,Jones et al 2009
Primates,Daubentonia madagascariensis,43.20,Heldstab et al 2016,2594.75,Feistner and Sterling 1997,0,Botero et al 2013,0,Jones et al 2009,4,Myers et al 2006,3,Wilman et al 2014,-18.79,Jones et al 2009
Primates,Erythrocebus patas,88.90,Isler and van Schaik 2012,6500.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,7.97,Jones et al 2009
Primates,Eulemur albifrons,23.31,Heldstab et al 2016,2310.34,Toborowski 2011,0,van Woerden et al 2010,0,Jones et al 2009,4,Heldstab et al 2016,3,Wilman et al 2014,-15.50,Jones et al 2009
Primates,Eulemur albocollaris,23.65,van Woerden et al 2010,2171.00,Johnson et al 2005,0,van Woerden et al 2010,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-22.90,Jones et al 2009
Primates,Eulemur collaris,23.50,Heldstab et al 2016,2454.96,Donati 2007,0,van Woerden et al 2010,0,Jones et al 2009,4,Heldstab et al 2016,2,Wilman et al 2014,-24.08,Jones et al 2009
Primates,Eulemur coronatus,20.08,Heldstab et al 2016,1180.00,Isler et al 2008,0,Botero et al 2013,0,Jones et al 2009,4,Heldstab et al 2016,2,Wilman et al 2014,-13.06,Jones et al 2009
Primates,Eulemur fulvus,25.80,Isler and van Schaik 2012,2292.00,Isler and van Schaik 2012,0,van Woerden et al 2010,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-16.64,Jones et al 2009
Primates,Eulemur macaco,24.50,Isler and van Schaik 2012,2390.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-13.94,Jones et al 2009
Primates,Eulemur mongoz,19.08,Heldstab et al 2016,1614.95,Isler et al 2008,0,Botero et al 2013,0,Jones et al 2009,4,Heldstab et al 2016,3,Wilman et al 2014,-16.11,Jones et al 2009
Primates,Eulemur rubriventer,26.20,Isler and van Schaik 2012,1960.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-18.45,Jones et al 2009
Primates,Eulemur rufus,22.31,Heldstab et al 2016,2247.23,Gerson 2001,0,Botero et al 2013,0,Jones et al 2009,4,Heldstab et al 2016,2,Wilman et al 2014,-19.51,Jones et al 2009
Primates,Eulemur sanfordi,21.25,Heldstab et al 2016,2094.17,Botero et al 2013,0,Botero et al 2013,0,Jones et al 2009,4,Heldstab et al 2016,2,Wilman et al 2014,-12.78,Jones et al 2009
Primates,Euoticus elegantulus,5.55,van Woerden et al 2010,274.00,van Woerden et al 2010,0,Botero et al 2013,0,Animal Diversity Web,4,Animal Diversity Web,1,Animal Diversity Web,-0.26,Jones et al 2009
Primates,Euoticus pallidus,5.19,van Woerden et al 2010,300.00,van Woerden et al 2010,0,Botero et al 2013,0,All the World's Primates,4,All the World's Primates,4,All the World's Primates,4.89,Jones et al 2009
Primates,Galago alleni,5.78,van Woerden et al 2010,260.00,van Woerden et al 2010,0,van Woerden et al 2010,0,Jones et al 2009,4,Jones et al 2009,2,Animal Diversity Web,3.49,Jones et al 2009
Primates,Galago cameronensis,5.58,Isler et al 2008,269.00,Nekaris and Bearder 2007,0,van Woerden et al 2010,0,All the World's Primates,4,Animal Diversity Web,4,All the World's Primates,5.21,Jones et al 2009
Primates,Galago demidoff,2.62,van Woerden et al 2010,61.00,van Woerden et al 2010,0,van Woerden et al 2010,0,Jones et al 2009,4,Animal Diversity Web,4,Animal Diversity Web,-0.14,Jones et al 2009
Primates,Galago gabonensis,5.36,Isler et al 2008,260.00,Smith and Jungers 1997,0,van Woerden et al 2010,0,All the World's Primates,4,Animal Diversity Web,3,Animal Diversity Web,-0.58,Jones et al 2009
Primates,Galago moholi,3.63,Heldstab et al 2016,148.38,Isler et al 2008,0,Botero et al 2013,0,Myers et al 2006,4,Heldstab et al 2016,3,Wilman et al 2014,-13.46,Jones et al 2009
Primates,Galago senegalensis,3.95,Isler and van Schaik 2012,194.00,Isler and van Schaik 2012,0,van Woerden et al 2010,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1.95,Jones et al 2009
